numero;b1;b2;b3;b4;b5;i1;i2;i3;i4;i5;n1;n2;n3;n4;n5;g1;g2;g3;g4;g5;o1;o2;o3;o4;o5
1;13;8;14;12;4;27;23;17;21;24;35;40;0;36;42;48;49;58;55;54;68;66;62;71;65
2;13;4;1;12;14;21;25;16;27;26;34;44;0;39;33;59;46;49;47;54;66;64;63;70;73
3;6;7;12;3;4;22;21;24;20;26;36;39;0;38;42;49;50;57;58;55;74;63;72;64;68
4;9;1;3;15;12;19;25;18;20;17;40;43;0;38;35;48;47;55;58;54;61;68;65;67;70
5;6;9;11;14;13;19;20;16;23;28;37;41;0;36;42;58;52;53;60;57;73;62;68;74;69
6;11;8;6;5;2;24;22;27;16;25;32;42;0;35;44;53;51;57;50;46;63;70;67;65;74
7;9;6;2;13;12;17;21;26;20;28;35;39;0;42;32;48;51;59;53;56;75;74;61;73;65
8;9;11;10;8;6;26;28;20;23;29;45;44;0;38;39;52;57;46;49;55;68;61;69;71;63
9;8;14;7;1;9;26;27;23;19;17;38;42;0;34;31;57;55;52;53;49;74;63;69;67;64
10;3;7;9;10;4;23;18;17;20;24;41;36;0;45;38;51;55;52;50;49;62;61;70;65;66
11;4;13;12;14;3;21;28;30;27;25;40;35;0;45;42;53;47;50;60;58;64;72;67;63;65
12;1;8;4;5;3;21;17;27;25;26;44;37;0;39;34;49;55;47;58;46;65;74;73;71;64
13;12;11;9;3;8;23;27;25;28;24;40;39;0;41;38;49;48;57;46;51;64;66;72;75;71
14;3;5;14;13;10;20;25;24;22;29;34;43;0;32;44;48;58;57;52;53;65;68;72;61;69
15;2;13;14;5;4;25;18;27;24;23;41;42;0;31;34;57;60;49;46;55;66;65;69;74;63
16;8;1;13;4;9;18;20;28;25;26;40;33;0;42;35;56;57;46;47;59;70;63;72;61;71
17;12;7;4;9;6;25;17;19;23;20;38;34;0;37;35;54;46;55;47;53;63;61;62;74;73
18;4;5;15;10;13;18;26;19;22;24;37;44;0;41;32;52;57;55;49;51;63;71;67;70;61
19;3;11;5;8;14;29;23;20;22;28;39;37;0;33;40;46;58;51;59;54;72;68;71;74;69
20;8;13;11;14;1;21;24;20;27;19;40;41;0;45;36;55;51;48;57;58;64;73;63;65;69
21;2;13;6;4;14;21;24;18;20;25;45;42;0;38;39;47;52;48;50;54;72;68;67;63;62
22;12;3;5;4;9;25;23;16;27;17;42;35;0;38;43;52;58;57;54;53;71;72;67;61;64
23;15;11;5;7;10;21;20;27;19;17;33;36;0;43;35;54;60;53;47;58;72;71;61;69;65
24;10;1;14;3;5;29;16;24;25;22;41;39;0;42;37;47;57;46;49;56;71;67;69;61;62
25;1;2;8;13;7;17;27;20;24;25;38;37;0;42;40;57;58;52;51;46;72;63;67;61;65
26;3;10;9;4;13;30;18;22;26;24;43;33;0;31;35;57;49;54;47;52;70;63;73;67;68
27;6;10;15;2;11;19;16;30;23;20;41;37;0;43;42;52;51;57;46;53;67;74;66;69;70
28;15;13;2;14;5;28;23;17;18;25;38;41;0;36;33;47;50;52;49;59;70;66;65;63;62
29;15;5;10;12;9;25;26;30;19;23;38;43;0;32;35;52;54;47;59;57;74;61;66;65;69
30;14;5;3;12;6;19;21;23;17;22;36;39;0;44;42;47;50;54;51;60;66;62;68;71;72
31;10;13;7;12;14;23;24;16;28;17;42;39;0;40;32;58;49;47;46;55;68;66;61;63;73
32;5;8;3;1;10;21;24;16;26;23;32;37;0;31;38;54;53;51;59;56;73;69;71;68;72
33;1;11;10;15;12;26;25;21;16;20;33;43;0;36;41;55;48;54;50;58;68;69;63;64;71
34;7;1;8;2;11;28;27;21;16;18;37;34;0;35;31;53;60;57;52;48;67;64;69;75;70
35;10;13;7;5;6;19;16;23;28;17;31;38;0;33;40;56;55;57;54;46;72;71;62;66;73
36;7;12;4;5;13;22;19;20;25;23;41;35;0;31;38;59;53;58;52;51;73;61;69;65;62
37;5;4;9;3;12;28;25;22;23;19;43;33;0;35;40;48;55;58;51;53;65;63;67;64;70
38;15;8;6;13;9;18;26;22;23;19;39;37;0;34;45;51;57;50;54;48;73;74;71;65;70
39;9;3;15;2;1;20;16;26;17;21;34;41;0;38;44;55;48;59;50;58;74;66;72;62;69
40;11;4;10;9;1;22;16;29;23;17;40;33;0;31;43;57;58;55;50;53;68;67;70;65;64
41;7;6;14;12;3;29;21;17;24;22;37;36;0;43;35;49;54;55;57;48;69;64;74;66;67
42;2;1;4;3;10;19;21;29;22;30;41;32;0;35;40;48;59;46;51;56;61;62;73;65;71
43;3;8;9;11;7;20;25;17;24;22;37;44;0;43;34;60;49;54;56;46;63;62;66;74;67
44;3;5;2;7;6;19;21;22;27;17;38;35;0;39;41;59;52;50;58;49;67;70;75;66;62
45;10;4;14;15;9;28;29;26;19;30;41;31;0;42;40;54;46;55;49;59;74;69;64;65;66
